# index	gene ID			Amplitude
48974		ENSG00000168484		-0.052255113
26156		ENSG00000205420		0.043426372
9886		ENSG00000066405		-0.039535806
57760		ENSG00000122852		-0.039309666
22442		ENSG00000178363		0.038510196
6908		ENSG00000185303		-0.037474494
21487		ENSG00000186832		0.03708184
5858		ENSG00000134757		0.036912404
47964		ENSG00000204305		-0.036847237
38099		ENSG00000186081		0.03683542
24391		ENSG00000096088		-0.03541071
52913		ENSG00000185479		0.035383385
4574		ENSG00000198074		0.03516457
17515		ENSG00000206075		0.033803686
24739		ENSG00000169469		0.03347305
46922		ENSG00000121742		0.032803122
13961		ENSG00000183607		-0.032565206
36900		ENSG00000149435		-0.032231376
12538		ENSG00000186847		0.03206965
53074		ENSG00000128422		0.032068342
14129		ENSG00000196616		-0.031970263
56567		ENSG00000196260		-0.031635813
36316		ENSG00000142973		-0.031113489
26187		ENSG00000169474		0.031053856
57152		ENSG00000235584		-0.030863814
4722		ENSG00000134762		0.030698963
46797		ENSG00000134020		-0.030651413
11040		ENSG00000176153		0.030599933
11273		ENSG00000171885		-0.030488946
40959		ENSG00000138271		0.030413054
